hc,Station Number,Year,Month,Day,Hour,Minute in Local Time,Year,Month,Day,Hour,Minute in Local Standard Time,Precipitation in mm,Quality of precipitation,Air temperature in Degrees C,Quality of air temperature,Relative humidity in percentage %,Quality of relative humidity,Wind speed measured in km/h,Quality of wind speed,Wind direction measured in degrees,Quality of wind direction,Mean sea level pressure in hPa,Quality of mean sea level pressure,Total cloud amount in eighths,Quality of total cloud amount,#
hc,  9887,1988,01,01,15,00,1988,01,01,15,00,      , , 24.5,N,   , , 16.6,N,202.5,N,1019.4,N, , ,#
hc,  9887,1988,01,01,18,00,1988,01,01,18,00,      , , 21.4,N,   , , 14.8,N,202.5,N,1019.1,N, , ,#
hc,  9887,1988,01,01,21,00,1988,01,01,21,00,      , , 19.6,N,   , ,  9.4,N,180.0,N,1019.2,N, , ,#
hc,  9887,1988,01,02,09,00,1988,01,02,09,00,      , , 24.1,N,   , ,  5.4,N,112.5,N,1019.9,N, , ,#
hc,  9887,1988,01,02,21,00,1988,01,02,21,00,      , , 21.9,N,   , , 13.0,N,202.5,N,1017.3,N, , ,#
hc,  9887,1988,01,03,00,00,1988,01,03,00,00,      , , 20.5,N,   , , 11.2,N,180.0,N,1017.4,N, , ,#
hc,  9887,1988,01,03,03,00,1988,01,03,03,00,      , , 19.4,N,   , , 13.0,N,135.0,N,1017.1,N, , ,#
hc,  9887,1988,01,03,06,00,1988,01,03,06,00,      , , 18.3,N,   , ,  9.4,N,112.5,N,1018.3,N, , ,#
hc,  9887,1988,01,04,00,00,1988,01,04,00,00,      , , 23.8,N,   , ,  7.6,N,135.0,N,1013.4,N, , ,#
hc,  9887,1988,01,04,03,00,1988,01,04,03,00,      , , 25.1,N,   , , 13.0,N,112.5,N,1011.9,N, , ,#
hc,  9887,1988,01,04,06,00,1988,01,04,06,00,      , , 25.4,N,   , , 20.5,N, 90.0,N,1016.2,N, , ,#
hc,  9887,1988,01,04,09,00,1988,01,04,09,00,      , , 32.4,N,   , , 16.6,N, 67.5,N,1013.0,N, , ,#
hc,  9887,1988,01,05,00,00,1988,01,05,00,00,      , , 20.0,N,   , ,  3.6,N,157.5,N,1010.1,N, , ,#
hc,  9887,1988,01,05,03,00,1988,01,05,03,00,      , , 20.4,N,   , ,  5.4,N,180.0,N,1008.8,N, , ,#
hc,  9887,1988,01,05,06,00,1988,01,05,06,00,      , , 19.6,N,   , ,  7.6,N,180.0,N,1009.6,N, , ,#
hc,  9887,1988,01,06,00,00,1988,01,06,00,00,      , , 18.1,N,   , ,  3.6,N,315.0,N,1012.5,N, , ,#
hc,  9887,1988,01,06,03,00,1988,01,06,03,00,      , , 18.1,N,   , , 11.2,N,270.0,N,1012.3,N, , ,#
hc,  9887,1988,01,06,06,00,1988,01,06,06,00,      , , 18.3,N,   , ,  7.6,N,270.0,N,1013.8,N, , ,#
hc,  9887,1988,01,07,15,00,1988,01,07,15,00,      , , 23.9,N,   , , 18.4,N,225.0,N,1018.9,N, , ,#
hc,  9887,1988,01,08,09,00,1988,01,08,09,00,      , , 21.7,N,   , ,  9.4,N,202.5,N,1018.3,N, , ,#
hc,  9887,1988,01,08,15,00,1988,01,08,15,00,      , , 23.1,N,   , , 18.4,N,247.5,N,1016.8,N, , ,#
hc,  9887,1988,01,09,09,00,1988,01,09,09,00,      , , 19.5,N,   , ,  9.4,N,247.5,N,1016.5,N, , ,#
hc,  9887,1988,01,09,18,00,1988,01,09,18,00,      , , 19.5,N,   , , 16.6,N,247.5,N,1014.8,N, , ,#
hc,  9887,1988,01,10,09,00,1988,01,10,09,00,      , , 19.8,N,   , ,  0.0,N,225.0,N,      , , , ,#
hc,  9887,1988,01,10,12,00,1988,01,10,12,00,      , , 22.1,N,   , , 13.0,N,292.5,N,1014.5,N, , ,#
hc,  9887,1988,01,10,15,00,1988,01,10,15,00,      , , 22.0,N,   , , 16.6,N,270.0,N,1013.5,N, , ,#
hc,  9887,1988,01,10,18,00,1988,01,10,18,00,      , , 20.1,N,   , , 14.8,N,270.0,N,1012.7,N, , ,#
hc,  9887,1988,01,11,09,00,1988,01,11,09,00,      , , 19.0,N,   , ,  7.6,N,180.0,N,1014.0,N, , ,#
hc,  9887,1988,01,11,12,00,1988,01,11,12,00,      , , 21.1,N,   , , 16.6,N,247.5,N,1013.9,N, , ,#
hc,  9887,1988,01,11,15,00,1988,01,11,15,00,      , , 21.4,N,   , , 24.1,N,270.0,N,1012.6,N, , ,#
hc,  9887,1988,01,12,12,00,1988,01,12,12,00,      , , 19.2,N,   , , 14.8,N,202.5,N,1014.4,N, , ,#
hc,  9887,1988,01,13,09,00,1988,01,13,09,00,      , , 16.3,N,   , , 14.8,N,180.0,N,1015.9,N, , ,#
hc,  9887,1988,01,13,12,00,1988,01,13,12,00,      , , 18.9,N,   , , 20.5,N,225.0,N,1015.3,N, , ,#
hc,  9887,1988,01,14,09,00,1988,01,14,09,00,      , , 16.9,N,   , , 11.2,N,157.5,N,1021.9,N, , ,#
hc,  9887,1988,01,14,15,00,1988,01,14,15,00,      , ,     , ,   , , 25.9,N,225.0,N,      , , , ,#
hc,  9887,1988,01,15,00,00,1988,01,15,00,00,      , , 13.7,N,   , ,  9.4,N,180.0,N,1019.5,N, , ,#
hc,  9887,1988,01,15,12,00,1988,01,15,12,00,      , , 25.4,N,   , , 14.8,N,292.5,N,1018.3,N, , ,#
hc,  9887,1988,01,15,18,00,1988,01,15,18,00,      , , 23.0,N,   , , 14.8,N,202.5,N,1016.1,N, , ,#
hc,  9887,1988,01,16,09,00,1988,01,16,09,00,      , , 22.6,N,   , ,  5.4,N,180.0,N,1016.7,N, , ,#
hc,  9887,1988,01,16,18,00,1988,01,16,18,00,      , , 26.3,N,   , , 18.4,N,202.5,N,1012.5,N, , ,#
hc,  9887,1988,01,17,15,00,1988,01,17,15,00,      , , 28.3,N,   , , 20.5,N,225.0,N,1010.8,N, , ,#
hc,  9887,1988,01,18,15,00,1988,01,18,15,00,      , , 24.2,N,   , , 16.6,N,225.0,N,1012.4,N, , ,#
hc,  9887,1988,01,19,09,00,1988,01,19,09,00,      , , 21.7,N,   , , 11.2,N,202.5,N,1017.7,N, , ,#
hc,  9887,1988,01,19,15,00,1988,01,19,15,00,      , , 23.4,N,   , , 16.6,N,225.0,N,1017.5,N, , ,#
hc,  9887,1988,01,20,09,00,1988,01,20,09,00,      , , 18.7,N,   , ,  9.4,N,135.0,N,1021.5,N, , ,#
hc,  9887,1988,01,20,15,00,1988,01,20,15,00,      , , 22.8,N,   , , 18.4,N,225.0,N,1019.3,N, , ,#
hc,  9887,1988,01,21,09,00,1988,01,21,09,00,      , , 21.9,N,   , ,  1.8,N,157.5,N,1018.2,N, , ,#
hc,  9887,1988,01,21,15,00,1988,01,21,15,00,      , , 24.8,N,   , , 18.4,N,225.0,N,1016.6,N, , ,#
hc,  9887,1988,01,23,15,00,1988,01,23,15,00,      , , 32.8,N,   , , 11.2,N,135.0,N,1017.8,N, , ,#
hc,  9887,1988,01,24,09,00,1988,01,24,09,00,      , , 26.4,N,   , , 14.8,N,112.5,N,1018.2,N, , ,#
hc,  9887,1988,01,24,12,00,1988,01,24,12,00,      , , 34.1,N,   , , 13.0,N,112.5,N,1016.3,N, , ,#
hc,  9887,1988,01,24,15,00,1988,01,24,15,00,      , , 35.7,N,   , , 22.3,N,247.5,N,1013.7,N, , ,#
hc,  9887,1988,01,25,15,00,1988,01,25,15,00,      , , 32.1,N,   , , 20.5,N,292.5,N,1012.4,N, , ,#
hc,  9887,1988,01,25,18,00,1988,01,25,18,00,      , , 29.7,N,   , , 13.0,N,202.5,N,1012.2,N, , ,#
hc,  9887,1988,01,26,15,00,1988,01,26,15,00,      , , 37.7,N,   , , 11.2,N,225.0,N,1010.7,N, , ,#
hc,  9887,1988,01,27,15,00,1988,01,27,15,00,      , , 27.1,N,   , , 20.5,N,225.0,N,1009.3,N, , ,#
hc,  9887,1988,01,28,09,00,1988,01,28,09,00,      , , 23.6,N,   , ,  9.4,N,157.5,N,1012.9,N, , ,#
hc,  9887,1988,01,28,15,00,1988,01,28,15,00,      , , 26.8,N,   , , 25.9,N,225.0,N,1010.2,N, , ,#
hc,  9887,1988,01,29,09,00,1988,01,29,09,00,      , , 18.8,N,   , ,  7.6,N,112.5,N,1017.3,N, , ,#
hc,  9887,1988,01,30,09,00,1988,01,30,09,00,      , , 21.0,N,   , , 18.4,N,112.5,N,1019.0,N, , ,#
hc,  9887,1988,01,30,15,00,1988,01,30,15,00,      , , 28.4,N,   , , 16.6,N,112.5,N,1015.6,N, , ,#
hc,  9887,1988,01,31,15,00,1988,01,31,15,00,      , , 32.9,N,   , , 14.8,N,112.5,N,1013.0,N, , ,#
hc,  9887,1988,02,01,00,00,1988,02,01,00,00,      , , 24.0,Y,   , , 14.8,Y,112.0,Y,1015.2,Y, , ,#
hc,  9887,1988,02,01,03,00,1988,02,01,03,00,      , , 21.0,Y,   , ,  5.4,Y, 90.0,Y,1016.1,Y, , ,#
hc,  9887,1988,02,01,06,00,1988,02,01,06,00,      , , 19.3,Y,   , ,  5.4,Y,112.0,Y,1017.2,Y, , ,#
hc,  9887,1988,02,01,09,00,1988,02,01,09,00,      , , 25.5,Y,   , , 16.6,Y, 90.0,Y,1018.5,Y, , ,#
hc,  9887,1988,02,01,12,00,1988,02,01,12,00,      , , 30.1,Y,   , , 20.5,Y,112.0,Y,1017.8,Y, , ,#
hc,  9887,1988,02,01,15,00,1988,02,01,15,00,      , , 34.5,Y,   , ,  9.4,Y, 90.0,Y,1015.6,Y, , ,#
hc,  9887,1988,02,01,18,00,1988,02,01,18,00,      , , 33.4,Y,   , , 13.0,Y,112.0,Y,1014.3,Y, , ,#
hc,  9887,1988,02,01,21,00,1988,02,01,21,00,      , , 28.2,Y,   , ,  7.6,Y,135.0,Y,1016.2,Y, , ,#
hc,  9887,1988,02,02,00,00,1988,02,02,00,00,      , , 26.5,Y,   , , 16.6,Y,112.0,Y,1017.1,Y, , ,#
hc,  9887,1988,02,02,03,00,1988,02,02,03,00,      , , 23.1,Y,   , ,  3.6,Y, 90.0,Y,1016.8,Y, , ,#
hc,  9887,1988,02,02,06,00,1988,02,02,06,00,      , , 19.8,Y,   , ,  5.4,Y, 90.0,Y,1018.5,Y, , ,#
hc,  9887,1988,02,02,09,00,1988,02,02,09,00,      , , 25.6,Y,   , ,  9.4,Y,112.0,Y,1018.7,Y, , ,#
hc,  9887,1988,02,02,12,00,1988,02,02,12,00,      , , 30.9,Y,   , , 14.8,Y,112.0,Y,1016.5,Y, , ,#
hc,  9887,1988,02,02,15,00,1988,02,02,15,00,      , , 34.1,Y,   , , 11.2,Y, 90.0,Y,1014.0,Y, , ,#
hc,  9887,1988,02,02,18,00,1988,02,02,18,00,      , , 32.8,Y,   , , 14.8,Y, 90.0,Y,1012.3,Y, , ,#
hc,  9887,1988,02,02,21,00,1988,02,02,21,00,      , , 27.1,Y,   , ,  7.6,Y,112.0,Y,1013.4,Y, , ,#
hc,  9887,1988,02,03,00,00,1988,02,03,00,00,      , , 23.8,Y,   , ,  9.4,Y,135.0,Y,1014.7,Y, , ,#
hc,  9887,1988,02,03,03,00,1988,02,03,03,00,      , , 21.6,Y,   , ,  9.4,Y,135.0,Y,1013.1,Y, , ,#
hc,  9887,1988,02,03,06,00,1988,02,03,06,00,      , , 20.9,Y,   , ,  9.4,Y,112.0,Y,1013.4,Y, , ,#
hc,  9887,1988,02,03,09,00,1988,02,03,09,00,      , , 27.3,Y,   , , 13.0,Y, 67.0,Y,1014.0,Y, , ,#
hc,  9887,1988,02,03,12,00,1988,02,03,12,00,      , , 30.5,Y,   , , 11.2,Y, 90.0,Y,1012.3,Y, , ,#
hc,  9887,1988,02,03,15,00,1988,02,03,15,00,      , , 29.1,Y,   , , 11.2,Y,247.0,Y,1011.3,Y, , ,#
hc,  9887,1988,02,03,18,00,1988,02,03,18,00,      , , 28.6,Y,   , , 16.6,Y,225.0,Y,1010.0,Y, , ,#
hc,  9887,1988,02,03,21,00,1988,02,03,21,00,      , , 24.6,Y,   , ,  7.6,Y,180.0,Y,1010.8,Y, , ,#
hc,  9887,1988,02,04,00,00,1988,02,04,00,00,      , , 22.7,Y,   , ,  3.6,Y, 90.0,Y,1011.5,Y, , ,#
hc,  9887,1988,02,04,03,00,1988,02,04,03,00,      , , 21.5,Y,   , ,  0.0,Y,  0.0, ,1010.8,Y, , ,#
hc,  9887,1988,02,04,06,00,1988,02,04,06,00,      , , 19.9,Y,   , ,  0.0,Y,  0.0, ,1011.0,Y, , ,#
hc,  9887,1988,02,04,09,00,1988,02,04,09,00,      , , 27.9,Y,   , ,  0.0,Y,  0.0,Y,1012.2,Y, , ,#
hc,  9887,1988,02,04,12,00,1988,02,04,12,00,      , , 30.3,Y,   , , 13.0,Y,292.0,Y,1012.0,Y, , ,#
hc,  9887,1988,02,04,15,00,1988,02,04,15,00,      , , 29.6,Y,   , , 22.3,Y,225.0,Y,1011.6,Y, , ,#
hc,  9887,1988,02,04,18,00,1988,02,04,18,00,      , , 27.6,Y,   , , 22.3,Y,225.0,Y,1011.8,Y, , ,#
hc,  9887,1988,02,04,21,00,1988,02,04,21,00,      , , 22.9,Y,   , ,  9.4,Y,180.0,Y,1012.8,Y, , ,#
hc,  9887,1988,02,05,00,00,1988,02,05,00,00,      , , 20.8,Y,   , , 11.2,Y,180.0,Y,1014.5,Y, , ,#
hc,  9887,1988,02,05,03,00,1988,02,05,03,00,      , , 17.2,Y,   , ,  5.4,Y,135.0,Y,1016.2,Y, , ,#
hc,  9887,1988,02,05,06,00,1988,02,05,06,00,      , , 18.6,Y,   , ,  7.6,Y,157.0,Y,1018.1,Y, , ,#
hc,  9887,1988,02,05,09,00,1988,02,05,09,00,      , , 19.6,Y,   , , 14.8,Y,135.0,Y,1019.4,Y, , ,#
hc,  9887,1988,02,05,12,00,1988,02,05,12,00,      , , 22.8,Y,   , , 22.3,Y,112.0,Y,1019.2,Y, , ,#
hc,  9887,1988,02,05,15,00,1988,02,05,15,00,      , , 27.5,Y,   , , 20.5,Y,135.0,Y,1016.9,Y, , ,#
hc,  9887,1988,02,05,18,00,1988,02,05,18,00,      , , 26.2,Y,   , , 18.4,Y,135.0,Y,1016.9,Y, , ,#
hc,  9887,1988,02,05,21,00,1988,02,05,21,00,      , , 21.1,Y,   , , 22.3,Y,112.0,Y,1018.5,Y, , ,#
hc,  9887,1988,02,06,00,00,1988,02,06,00,00,      , , 16.7,Y,   , , 14.8,Y,112.0,Y,1020.2,Y, , ,#
hc,  9887,1988,02,06,03,00,1988,02,06,03,00,      , , 14.2,Y,   , , 13.0,Y,135.0,Y,1020.0,Y, , ,#
hc,  9887,1988,02,06,06,00,1988,02,06,06,00,      , , 13.6,Y,   , , 18.4,Y,112.0,Y,1021.0,Y, , ,#
hc,  9887,1988,02,06,09,00,1988,02,06,09,00,      , , 19.2,Y,   , , 18.4,Y,112.5,Y,1021.1,Y, , ,#
hc,  9887,1988,02,06,12,00,1988,02,06,12,00,      , , 25.6,Y,   , , 18.4,Y,112.0,Y,1019.3,Y, , ,#
hc,  9887,1988,02,06,15,00,1988,02,06,15,00,      , , 30.1,Y,   , , 16.6,Y, 90.0,Y,1017.3,Y, , ,#
hc,  9887,1988,02,06,18,00,1988,02,06,18,00,      , , 29.8,Y,   , , 11.2,Y, 90.0,Y,1015.9,Y, , ,#
hc,  9887,1988,02,06,21,00,1988,02,06,21,00,      , , 23.1,Y,   , ,  3.6,Y,135.0,Y,1016.4,Y, , ,#
hc,  9887,1988,02,07,00,00,1988,02,07,00,00,      , , 21.7,Y,   , ,  7.6,Y,112.0,Y,1017.1,Y, , ,#
hc,  9887,1988,02,07,03,00,1988,02,07,03,00,      , , 19.7,Y,   , ,  9.4,Y,112.0,Y,1017.4,Y, , ,#
hc,  9887,1988,02,07,06,00,1988,02,07,06,00,      , , 17.7,Y,   , ,  9.4,Y,112.0,Y,1017.8,Y, , ,#
hc,  9887,1988,02,07,09,00,1988,02,07,09,00,      , , 24.0,Y,   , , 14.8,Y, 90.0,Y,1018.2,Y, , ,#
hc,  9887,1988,02,07,12,00,1988,02,07,12,00,      , , 30.5,Y,   , , 14.8,Y, 90.0,Y,1016.4,Y, , ,#
hc,  9887,1988,02,07,15,00,1988,02,07,15,00,      , , 32.5,Y,   , , 11.2,Y,247.0,Y,1014.1,Y, , ,#
hc,  9887,1988,02,07,18,00,1988,02,07,18,00,      , , 29.2,Y,   , , 13.0,Y,225.0,Y,1012.7,Y, , ,#
hc,  9887,1988,02,07,21,00,1988,02,07,21,00,      , , 22.3,Y,   , ,  7.6,Y,180.0,Y,1013.6,Y, , ,#
hc,  9887,1988,02,08,00,00,1988,02,08,00,00,      , , 18.1,Y,   , ,  5.4,Y,157.0,Y,1012.7,Y, , ,#
hc,  9887,1988,02,08,03,00,1988,02,08,03,00,      , , 20.6,Y,   , ,  5.4,Y,157.0,Y,1011.8,Y, , ,#
hc,  9887,1988,02,08,06,00,1988,02,08,06,00,      , , 19.0,Y,   , ,  5.4,Y, 90.0,Y,1012.3,Y, , ,#
hc,  9887,1988,02,08,09,00,1988,02,08,09,00,      , , 29.5,Y,   , , 13.0,Y, 22.0,Y,1012.7,Y, , ,#
hc,  9887,1988,02,08,12,00,1988,02,08,12,00,      , , 33.6,Y,   , , 14.8,Y,337.0,Y,1011.8,Y, , ,#
hc,  9887,1988,02,08,15,00,1988,02,08,15,00,      , , 34.9,Y,   , , 14.8,Y,292.5,Y,1010.0,Y, , ,#
hc,  9887,1988,02,08,18,00,1988,02,08,18,00,      , , 31.1,Y,   , , 14.8,Y,247.0,Y,1009.6,Y, , ,#
hc,  9887,1988,02,08,21,00,1988,02,08,21,00,      , , 23.8,Y,   , , 11.2,Y,180.0,Y,1010.4,Y, , ,#
hc,  9887,1988,02,09,00,00,1988,02,09,00,00,      , , 22.2,Y,   , , 13.0,Y,180.0,Y,1012.1,Y, , ,#
hc,  9887,1988,02,09,03,00,1988,02,09,03,00,      , , 22.6,Y,   , , 13.0,Y,157.0,Y,1011.6,Y, , ,#
hc,  9887,1988,02,09,06,00,1988,02,09,06,00,      , , 19.4,Y,   , ,  5.4,Y, 90.0,Y,1012.4,Y, , ,#
hc,  9887,1988,02,09,09,00,1988,02,09,09,00,      , , 23.1,Y,   , ,  9.4,Y,180.0,Y,1014.2,Y, , ,#
hc,  9887,1988,02,09,12,00,1988,02,09,12,00,      , , 29.9,Y,   , , 14.8,Y,202.5,Y,1014.6,Y, , ,#
hc,  9887,1988,02,09,15,00,1988,02,09,15,00,      , , 29.2,Y,   , , 25.9,Y,225.0,Y,1014.0,Y, , ,#
hc,  9887,1988,02,09,18,00,1988,02,09,18,00,      , , 30.5,Y,   , , 16.6,Y,180.0,Y,1014.2,Y, , ,#
hc,  9887,1988,02,09,21,00,1988,02,09,21,00,      , , 24.8,Y,   , , 13.0,Y,135.0,Y,1018.0,Y, , ,#
hc,  9887,1988,02,10,00,00,1988,02,10,00,00,      , , 19.5,Y,   , , 14.8,Y,180.0,Y,1019.5,Y, , ,#
hc,  9887,1988,02,10,03,00,1988,02,10,03,00,      , , 15.2,Y,   , ,  5.4,Y,135.0,Y,1020.2,Y, , ,#
hc,  9887,1988,02,10,06,00,1988,02,10,06,00,      , , 13.5,Y,   , ,  9.4,Y,135.0,Y,1022.7,Y, , ,#
hc,  9887,1988,02,10,09,00,1988,02,10,09,00,      , , 18.6,Y,   , , 16.6,Y,112.5,Y,1022.0,Y, , ,#
hc,  9887,1988,02,10,12,00,1988,02,10,12,00,      , , 25.6,Y,   , , 13.0,Y,112.5,Y,1020.1,Y, , ,#
hc,  9887,1988,02,10,15,00,1988,02,10,15,00,      , , 30.3,Y,   , ,  9.4,Y,135.0,Y,1018.0,Y, , ,#
hc,  9887,1988,02,10,18,00,1988,02,10,18,00,      , , 29.7,Y,   , , 13.0,Y,135.0,Y,1016.9,Y, , ,#
hc,  9887,1988,02,10,21,00,1988,02,10,21,00,      , , 24.3,Y,   , ,  9.4,Y,135.0,Y,1018.6,Y, , ,#
